S no.,Title,Price,Product Link
1,"POCO C61 - Locked with Airtel Prepaid (Mystical Green, 64 GB)","₹5,499",https://www.flipkart.com/poco-c61-locked-airtel-prepaid-mystical-green-64-gb/p/itmb573691797f80?pid=MOBH2N3FTMWGUJM8&lid=LSTMOBH2N3FTMWGUJM8OKEFAS&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBH2N3FTMWGUJM8.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
2,"POCO C61 - Locked with Airtel Prepaid (Diamond Dust Black, 64 GB)","₹5,499",https://www.flipkart.com/poco-c61-locked-airtel-prepaid-diamond-dust-black-64-gb/p/itmc290ff1ada57d?pid=MOBH2N3FTQQVDVFW&lid=LSTMOBH2N3FTQQVDVFWEODMUY&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBH2N3FTQQVDVFW.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
3,"REDMI 13C 5G (Starlight Black, 128 GB)","₹11,499",https://www.flipkart.com/redmi-13c-5g-starlight-black-128-gb/p/itm54938652090ad?pid=MOBHY3B27G3PBHVU&lid=LSTMOBHY3B27G3PBHVUHTXYDV&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBHY3B27G3PBHVU.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
4,"SAMSUNG Galaxy F05 (Twilight Blue, 64 GB)","₹6,499",https://www.flipkart.com/samsung-galaxy-f05-twilight-blue-64-gb/p/itm84a914081ab93?pid=MOBH4GTXZ9ZRQ3SU&lid=LSTMOBH4GTXZ9ZRQ3SUTOKMZJ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBH4GTXZ9ZRQ3SU.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
5,"Motorola g04s (Sea Green, 64 GB)","₹7,299",https://www.flipkart.com/motorola-g04s-sea-green-64-gb/p/itm6d82d81cfa8da?pid=MOBHY9PQZACQBKGG&lid=LSTMOBHY9PQZACQBKGGHNT2FF&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBHY9PQZACQBKGG.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
6,"Motorola G85 5G (Viva Magenta, 128 GB)","₹17,999",https://www.flipkart.com/motorola-g85-5g-viva-magenta-128-gb/p/itme67cc98574a7f?pid=MOBH35ZQFGVJFJ3W&lid=LSTMOBH35ZQFGVJFJ3WA8SV9M&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBH35ZQFGVJFJ3W.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
7,"vivo T3 Lite 5G (Vibrant Green, 128 GB)","₹10,499",https://www.flipkart.com/vivo-t3-lite-5g-vibrant-green-128-gb/p/itm977c89a44d373?pid=MOBHFTYBGJ7RW9ZQ&lid=LSTMOBHFTYBGJ7RW9ZQRJTON0&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBHFTYBGJ7RW9ZQ.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
8,"vivo T3 Lite 5G (Majestic Black, 128 GB)","₹10,499",https://www.flipkart.com/vivo-t3-lite-5g-majestic-black-128-gb/p/itm977c89a44d373?pid=MOBHFTYBDGMZMT9U&lid=LSTMOBHFTYBDGMZMT9UN8473W&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBHFTYBDGMZMT9U.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
9,"vivo T3 Lite 5G (Majestic Black, 128 GB)","₹11,499",https://www.flipkart.com/vivo-t3-lite-5g-majestic-black-128-gb/p/itm977c89a44d373?pid=MOBHFTYB4ZHAAGFS&lid=LSTMOBHFTYB4ZHAAGFS9V33ZB&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBHFTYB4ZHAAGFS.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
10,"Motorola g45 5G (Viva Magenta, 128 GB)","₹12,999",https://www.flipkart.com/motorola-g45-5g-viva-magenta-128-gb/p/itm4fcac185bc02b?pid=MOBH3YKQMPVFBUB5&lid=LSTMOBH3YKQMPVFBUB5BQUMDM&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBH3YKQMPVFBUB5.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
11,"POCO C75 5G (Aqua Bliss, 64 GB)","₹8,499",https://www.flipkart.com/poco-c75-5g-aqua-bliss-64-gb/p/itm10b3f6f1bc616?pid=MOBH7443MMBCWPPG&lid=LSTMOBH7443MMBCWPPGVOR2LC&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBH7443MMBCWPPG.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
12,"vivo T3 Lite 5G (Vibrant Green, 128 GB)","₹11,499",https://www.flipkart.com/vivo-t3-lite-5g-vibrant-green-128-gb/p/itm977c89a44d373?pid=MOBHFTYBA6V3RVZE&lid=LSTMOBHFTYBA6V3RVZE3H4WTW&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBHFTYBA6V3RVZE.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
13,"vivo T3x 5G (Crimson Bliss, 128 GB)","₹14,499",https://www.flipkart.com/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEPA4FFHCV&lid=LSTMOBGZRNEPA4FFHCVQ1YECQ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBGZRNEPA4FFHCV.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
